resolution_number,resolution_detail
Resolution No. 10 / 2022,Detailed Rules of the OTC clearing system – amendments
Resolution No. 67 / 2019,The Terms and Conditions of Access to the Application on the KDPW_CCP/KDPW website: KDPW_CCP CORE SERVICES – PRODUCTION/TEST ENVIRONMENT 
Resolution No. 52 / 2022,Detailed Rules of the OTC clearing system – amendments
Resolution No. 24 / 2018,The Detailed Rules of the OTC Clearing System – amendments
Resolution No. 38 / 2021,DEUTSCHE BANK POLSKA S.A. - termination of participation in the clearing system
Resolution No. 63 / 2019,The Detailed Rules of the OTC Clearing System – amendments
Resolution No. 33 / 2021,Days without clearing session 2022 (clearing of transactions in PLN)
Resolution No. 49 / 2022,Correction clerical error in Resolution No. 47/22 of the KDPW_CCP S.A. Management Board dated 17 November 2022 - days without clearing session 2022 (clearing of transactions in PLN)
Resolution No. 32 / 2021,"Concerning the calculation of time limits defined in the regulations of KDPW_CCP S.A. to the extent applicable to the clearing of transactions made in non-organised trading in EUR and applicable to the updating and adjusting in that currency (intrady) of margins contributions, and the additional days that will / will not be included in 2022."
Resolution No. 47 / 2022,Days without clearing session 2023 (clearing of transactions in PLN)
